Student_ID,High_School,High_School_Grad_Year,Graduated,Final_Grad_Date,Total_Enrollments,First_Enrollment,Last_Enrollment,College_Code_1,College_Code_2,College_Code_3,College_Code_4,College_Code_5,College_Code_6,College_Code_7,College_Code_8,College_Code_9,College_Code_10,College_Name_1,College_Name_2,College_Name_3,College_Name_4,College_Name_5,College_Name_6,College_Name_7,College_Name_8,College_Name_9,College_Name_10,Major_1,Major_2,Major_3,Major_4,Major_5,Major_6,Degree_Title_1,Degree_Title_2,Degree_Title_3,Degree_Title_4,Degree_Title_5,Degree_Title_6,College_State_1,College_State_2,College_State_3,College_State_4,College_State_5,College_State_6,College_State_7,College_State_8,College_State_9,College_State_10,2-Year/4-Year_1,2-Year/4-Year_2,2-Year/4-Year_3,2-Year/4-Year_4,2-Year/4-Year_5,2-Year/4-Year_6,2-Year/4-Year_7,2-Year/4-Year_8,2-Year/4-Year_9,2-Year/4-Year_10,Public/Private_1,Public/Private_2,Public/Private_3,Public/Private_4,Public/Private_5,Public/Private_6,Public/Private_7,Public/Private_8,Public/Private_9,Public/Private_10
382716366,Sky View,2017,Y,2020-07-22,11,2019-09-16,2024-04-24,001625-80,001625-80,001625-80,003670-00,003670-00,003670-00,003670-00,003670-00,003670-00,001625-80,BRIGHAM YOUNG UNIVERSITY -IDAHO WINTER/S,BRIGHAM YOUNG UNIVERSITY -IDAHO WINTER/S,BRIGHAM YOUNG UNIVERSITY -IDAHO WINTER/S,BRIGHAM YOUNG UNIVERSITY,BRIGHAM YOUNG UNIVERSITY,BRIGHAM YOUNG UNIVERSITY,BRIGHAM YOUNG UNIVERSITY,BRIGHAM YOUNG UNIVERSITY,BRIGHAM YOUNG UNIVERSITY,BRIGHAM YOUNG UNIVERSITY -IDAHO WINTER/S,GENERAL STUDIES,,,,,,ASSOCIATE OF SCIENCE,,,,,,ID,ID,ID,UT,UT,UT,UT,UT,UT,ID,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,Private,Private,Private,Private,Private,Private,Private,Private,Private,Private
382716369,Sky View,2017,Y,2021-05-06,10,2017-08-23,2021-05-05,003677-00,003677-00,003677-00,003677-00,003677-00,003677-00,003677-00,003677-00,003677-00,003677-00,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,PSYCHOLOGY,,,,,,BACHELOR OF SCIENCE,,,,,,UT,UT,UT,UT,UT,UT,UT,UT,UT,UT,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,Public,Public,Public,Public,Public,Public,Public,Public,Public,Public
382716396,Ridgeline,2019,Y,2024-06-24,4,2021-07-01,2024-06-30,021154-00,021154-00,021154-00,021154-00,,,,,,,BRIDGERLAND TECHNICAL COLLEGE,BRIDGERLAND TECHNICAL COLLEGE,BRIDGERLAND TECHNICAL COLLEGE,BRIDGERLAND TECHNICAL COLLEGE,,,,,,,,,,,,,,,,,,,UT,UT,UT,UT,,,,,,,2-year,2-year,2-year,2-year,,,,,,,Public,Public,Public,Public,,,,,,
382716399,Sky View,2019,N,,6,2019-08-26,2023-05-03,003677-00,003677-00,003677-00,003677-00,003677-00,003677-00,,,,,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,,,,,,,,,,,,,,,,,UT,UT,UT,UT,UT,UT,,,,,4-year,4-year,4-year,4-year,4-year,4-year,,,,,Public,Public,Public,Public,Public,Public,,,,
382716402,Green Canyon,2018,Y,2023-12-15,14,2018-08-21,2024-08-16,003679-00,003679-00,003679-00,003679-00,003679-00,003680-00,003680-00,003680-00,003680-00,003680-00,SNOW COLLEGE,SNOW COLLEGE,SNOW COLLEGE,SNOW COLLEGE,SNOW COLLEGE,WEBER STATE UNIVERSITY,WEBER STATE UNIVERSITY,WEBER STATE UNIVERSITY,WEBER STATE UNIVERSITY,WEBER STATE UNIVERSITY,GENERAL EDUCATION,RESPIRATORY THERAPY,,,,,ASSOCIATE OF SCIENCE,ASSOCIATE OF APPLIED SCIENCE,,,,,UT,UT,UT,UT,UT,UT,UT,UT,UT,UT,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,Public,Public,Public,Public,Public,Public,Public,Public,Public,Public
382716408,Green Canyon,2018,Y,2024-05-02,9,2020-08-31,2024-05-01,003677-00,003677-00,003677-00,003677-00,003677-00,003677-00,003677-00,003677-00,003677-00,,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,,GENERAL EDUCATION,,,,,,CERTIFICATE OF COMPLETION,,,,,,UT,UT,UT,UT,UT,UT,UT,UT,UT,,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,,Public,Public,Public,Public,Public,Public,Public,Public,Public,
382716423,Mountain Crest,2019,N,,8,2021-02-22,2024-08-26,023465-00,023465-00,023465-00,023465-00,023465-00,023465-00,023465-00,023465-00,,,OGDEN-WEBER TECHNICAL COLLEGE,OGDEN-WEBER TECHNICAL COLLEGE,OGDEN-WEBER TECHNICAL COLLEGE,OGDEN-WEBER TECHNICAL COLLEGE,OGDEN-WEBER TECHNICAL COLLEGE,OGDEN-WEBER TECHNICAL COLLEGE,OGDEN-WEBER TECHNICAL COLLEGE,OGDEN-WEBER TECHNICAL COLLEGE,,,,,,,,,,,,,,,UT,UT,UT,UT,UT,UT,UT,UT,,,2-year,2-year,2-year,2-year,2-year,2-year,2-year,2-year,,,Public,Public,Public,Public,Public,Public,Public,Public,,
382716426,Ridgeline,2019,N,,6,2021-09-08,2024-04-25,003678-00,003678-00,003678-00,003678-00,003678-00,003678-00,,,,,SOUTHERN UTAH UNIVERSITY,SOUTHERN UTAH UNIVERSITY,SOUTHERN UTAH UNIVERSITY,SOUTHERN UTAH UNIVERSITY,SOUTHERN UTAH UNIVERSITY,SOUTHERN UTAH UNIVERSITY,,,,,,,,,,,,,,,,,UT,UT,UT,UT,UT,UT,,,,,4-year,4-year,4-year,4-year,4-year,4-year,,,,,Public,Public,Public,Public,Public,Public,,,,
382716447,Sky View,2018,Y,2024-05-02,11,2020-09-09,2024-05-01,003678-00,003678-00,003678-00,003678-00,003677-00,003677-00,003677-00,003677-00,003678-00,003677-00,SOUTHERN UTAH UNIVERSITY,SOUTHERN UTAH UNIVERSITY,SOUTHERN UTAH UNIVERSITY,SOUTHERN UTAH UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,SOUTHERN UTAH UNIVERSITY,UTAH STATE UNIVERSITY,GENERAL STUDIES,KINESIOLOGY,,,,,ASSOCIATE OF SCIENCE,BACHELOR OF SCIENCE,,,,,UT,UT,UT,UT,UT,UT,UT,UT,UT,UT,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,Public,Public,Public,Public,Public,Public,Public,Public,Public,Public
382716450,Sky View,2019,N,,2,2019-07-01,2021-02-12,021154-00,021154-00,,,,,,,,,BRIDGERLAND TECHNICAL COLLEGE,BRIDGERLAND TECHNICAL COLLEGE,,,,,,,,,,,,,,,,,,,,,UT,UT,,,,,,,,,2-year,2-year,,,,,,,,,Public,Public,,,,,,,,
382716453,Sky View,2018,N,,4,2023-06-26,2024-04-28,002580-92,002580-92,002580-92,002580-92,,,,,,,SOUTHERN NEW HAMPSHIRE- 09WEEK,SOUTHERN NEW HAMPSHIRE- 09WEEK,SOUTHERN NEW HAMPSHIRE- 09WEEK,SOUTHERN NEW HAMPSHIRE- 09WEEK,,,,,,,,,,,,,,,,,,,NH,NH,NH,NH,,,,,,,4-year,4-year,4-year,4-year,,,,,,,Private,Private,Private,Private,,,,,,
382716456,Sky View,2018,Y,2024-04-10,12,2020-04-20,2024-07-24,001625-80,001625-80,001625-80,001625-80,001625-80,001625-80,001625-80,001625-80,001625-80,001625-80,BRIGHAM YOUNG UNIVERSITY -IDAHO WINTER/S,BRIGHAM YOUNG UNIVERSITY -IDAHO WINTER/S,BRIGHAM YOUNG UNIVERSITY -IDAHO WINTER/S,BRIGHAM YOUNG UNIVERSITY -IDAHO WINTER/S,BRIGHAM YOUNG UNIVERSITY -IDAHO WINTER/S,BRIGHAM YOUNG UNIVERSITY -IDAHO WINTER/S,BRIGHAM YOUNG UNIVERSITY -IDAHO WINTER/S,BRIGHAM YOUNG UNIVERSITY -IDAHO WINTER/S,BRIGHAM YOUNG UNIVERSITY -IDAHO WINTER/S,BRIGHAM YOUNG UNIVERSITY -IDAHO WINTER/S,EMBEDDED SYSTEMS,COMPUTER PROGRAMMING,,,,,CERTIFICATE,CERTIFICATE,,,,,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,Private,Private,Private,Private,Private,Private,Private,Private,Private,Private
382716465,Sky View,2019,Y,2024-05-02,9,2020-08-31,2024-05-01,003677-00,003677-00,003677-00,003677-00,003677-00,003677-00,003677-00,003677-00,003677-00,,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,,GENERAL EDUCATION,,,,,,CERTIFICATE OF COMPLETION,,,,,,UT,UT,UT,UT,UT,UT,UT,UT,UT,,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,,Public,Public,Public,Public,Public,Public,Public,Public,Public,
382716468,Sky View,2017,N,,3,2020-08-31,2022-05-04,003677-00,003677-00,003677-00,,,,,,,,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,,,,,,,,,,,,,,,,,,,,UT,UT,UT,,,,,,,,4-year,4-year,4-year,,,,,,,,Public,Public,Public,,,,,,,
382716489,Sky View,2016,Y,2023-12-13,15,2017-01-05,2023-12-13,001625-00,001625-00,001625-00,001625-00,001625-00,001625-00,001625-00,001625-00,001625-00,001625-00,BRIGHAM YOUNG UNIVERSITY - IDAHO FALL/WI,BRIGHAM YOUNG UNIVERSITY - IDAHO FALL/WI,BRIGHAM YOUNG UNIVERSITY - IDAHO FALL/WI,BRIGHAM YOUNG UNIVERSITY - IDAHO,BRIGHAM YOUNG UNIVERSITY - IDAHO,BRIGHAM YOUNG UNIVERSITY - IDAHO,BRIGHAM YOUNG UNIVERSITY - IDAHO,BRIGHAM YOUNG UNIVERSITY - IDAHO,BRIGHAM YOUNG UNIVERSITY - IDAHO,BRIGHAM YOUNG UNIVERSITY - IDAHO,GENERAL STUDIES,,,,,,ASSOCIATE OF SCIENCE,,,,,,ID,ID,ID,ID,ID,ID,ID,ID,ID,ID,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,Private,Private,Private,Private,Private,Private,Private,Private,Private,Private
382716504,Ridgeline,2017,N,,13,2017-08-28,2023-02-27,003677-00,003677-00,003677-00,001625-82,001625-82,001625-82,001625-82,001625-82,001625-82,001625-82,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,BRIGHAM YOUNG UNIVERSITY - IDAHO ONLINE,BRIGHAM YOUNG UNIVERSITY - IDAHO ONLINE,BRIGHAM YOUNG UNIVERSITY - IDAHO ONLINE,BRIGHAM YOUNG UNIVERSITY - IDAHO ONLINE,BRIGHAM YOUNG UNIVERSITY - IDAHO ONLINE,BRIGHAM YOUNG UNIVERSITY - IDAHO ONLINE,BRIGHAM YOUNG UNIVERSITY - IDAHO ONLINE,,,,,,,,,,,,,UT,UT,UT,ID,ID,ID,ID,ID,ID,ID,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,Public,Public,Public,Private,Private,Private,Private,Private,Private,Private
382716690,Mountain Crest,2016,Y,2020-05-01,12,2016-08-22,2022-12-17,003671-00,003671-00,003671-00,003671-00,003671-00,003671-00,003671-00,003671-00,030913-00,003671-00,DIXIE STATE UNIVERSITY,DIXIE STATE UNIVERSITY,DIXIE STATE UNIVERSITY,DIXIE STATE UNIVERSITY,DIXIE STATE UNIVERSITY,DIXIE STATE UNIVERSITY,DIXIE STATE UNIVERSITY,DIXIE STATE UNIVERSITY,REGENT UNIVERSITY,DIXIE STATE UNIVERSITY,CRIMINAL JUSTICE,GENERAL STUDIES,,,,,BACHELOR OF SCIENCE,CERTIFICATE OF COMPLETION,,,,,UT,UT,UT,UT,UT,UT,UT,UT,VA,UT,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,Public,Public,Public,Public,Public,Public,Public,Public,Private,Public
382716717,Sky View,2019,N,,5,2022-01-03,2024-04-24,003670-00,003670-00,003670-00,003670-00,003670-00,,,,,,BRIGHAM YOUNG UNIVERSITY,BRIGHAM YOUNG UNIVERSITY,BRIGHAM YOUNG UNIVERSITY,BRIGHAM YOUNG UNIVERSITY,BRIGHAM YOUNG UNIVERSITY,,,,,,,,,,,,,,,,,,UT,UT,UT,UT,UT,,,,,,4-year,4-year,4-year,4-year,4-year,,,,,,Private,Private,Private,Private,Private,,,,,
382716720,Green Canyon,2019,N,,4,2022-08-29,2024-05-01,003677-00,003677-00,003677-00,003677-00,,,,,,,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,,,,,,,,,,,,,,,,,,,UT,UT,UT,UT,,,,,,,4-year,4-year,4-year,4-year,,,,,,,Public,Public,Public,Public,,,,,,
382716738,Mountain Crest,2017,Y,2017-10-06,1,,,021154-00,,,,,,,,,,BRIDGERLAND TECHNICAL COLLEGE,,,,,,,,,,HEAVY EQUIPMENT OPERATOR/CDL,,,,,,CERTIFICATE,,,,,,UT,,,,,,,,,,2-year,,,,,,,,,,Public,,,,,,,,,
382716744,Ridgeline,2019,Y,2024-05-02,9,2019-08-19,2024-05-01,003675-00,003675-00,003675-00,003675-00,003677-00,003677-00,003677-00,003677-00,003677-00,,UNIVERSITY OF UTAH,UNIVERSITY OF UTAH,UNIVERSITY OF UTAH,UNIVERSITY OF UTAH,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,,GENERAL EDUCATION,,,,,,CERTIFICATE OF COMPLETION,,,,,,UT,UT,UT,UT,UT,UT,UT,UT,UT,,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,,Public,Public,Public,Public,Public,Public,Public,Public,Public,
382716801,Sky View,2016,Y,2023-10-02,12,2016-08-24,2024-06-30,003677-00,003677-00,003677-00,003677-00,003677-00,003677-00,021154-00,021154-00,003677-00,003677-00,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,BRIDGERLAND TECHNICAL COLLEGE,BRIDGERLAND TECHNICAL COLLEGE,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,PSYCHOLOGY,WEB & MOBILE DEVELOPMENT,,,,,BACHELOR OF SCIENCE,CERTIFICATE,,,,,UT,UT,UT,UT,UT,UT,UT,UT,UT,UT,4-year,4-year,4-year,4-year,4-year,4-year,2-year,2-year,4-year,4-year,Public,Public,Public,Public,Public,Public,Public,Public,Public,Public
382716834,Green Canyon,2018,Y,2024-05-02,10,2020-08-31,2024-08-09,003677-00,003677-00,003677-00,003677-00,003677-00,003677-00,003677-00,003677-00,003677-00,003677-00,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,GENERAL EDUCATION,,,,,,CERTIFICATE OF COMPLETION,,,,,,UT,UT,UT,UT,UT,UT,UT,UT,UT,UT,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,4-year,Public,Public,Public,Public,Public,Public,Public,Public,Public,Public
382716858,Ridgeline,2019,Y,2023-04-27,5,2021-09-08,2023-04-27,003678-00,003678-00,003678-00,003678-00,003678-00,,,,,,SOUTHERN UTAH UNIVERSITY,SOUTHERN UTAH UNIVERSITY,SOUTHERN UTAH UNIVERSITY,SOUTHERN UTAH UNIVERSITY,SOUTHERN UTAH UNIVERSITY,,,,,,GENERAL STUDIES,,,,,,ASSOCIATE OF SCIENCE,,,,,,UT,UT,UT,UT,UT,,,,,,4-year,4-year,4-year,4-year,4-year,,,,,,Public,Public,Public,Public,Public,,,,,
382716888,Sky View,2019,Y,2022-12-09,4,2021-07-01,2023-06-30,021154-00,021154-00,021154-00,021154-00,,,,,,,BRIDGERLAND TECHNICAL COLLEGE,BRIDGERLAND TECHNICAL COLLEGE,BRIDGERLAND TECHNICAL COLLEGE,BRIDGERLAND TECHNICAL COLLEGE,,,,,,,FASHION MERCHANDISING AND DEVELOPMENT,,,,,,CERTIFICATE,,,,,,UT,UT,UT,UT,,,,,,,2-year,2-year,2-year,2-year,,,,,,,Public,Public,Public,Public,,,,,,
382716894,Mountain Crest,2017,Y,2023-11-17,7,2017-08-28,2024-06-30,003680-00,003680-00,021154-00,021154-00,021154-00,021154-00,021154-00,,,,WEBER STATE UNIVERSITY,WEBER STATE UNIVERSITY,BRIDGERLAND TECHNICAL COLLEGE,BRIDGERLAND TECHNICAL COLLEGE,BRIDGERLAND TECHNICAL COLLEGE,BRIDGERLAND TECHNICAL COLLEGE,BRIDGERLAND TECHNICAL COLLEGE,,,,EMERGENCY MEDICAL TECHNICIAN,ADVANCED EMERGENCY MEDICAL TECHNICIAN,,,,,CERTIFICATE,CERTIFICATE,,,,,UT,UT,UT,UT,UT,UT,UT,,,,4-year,4-year,2-year,2-year,2-year,2-year,2-year,,,,Public,Public,Public,Public,Public,Public,Public,,,
382716903,Ridgeline,2019,N,,2,2020-01-06,2022-05-04,003677-00,003677-00,,,,,,,,,UTAH STATE UNIVERSITY,UTAH STATE UNIVERSITY,,,,,,,,,,,,,,,,,,,,,UT,UT,,,,,,,,,4-year,4-year,,,,,,,,,Public,Public,,,,,,,,
